RecID	Fname	Lname	Nbr	Address	City	State	Zip	PO Box	POCity	POState	POZip	SSN	Year	DOB
A983880	CHRISTOPHER	CAMPOS	3820	Cortes Island Rd    	WESTSACRAMENTO	CALIF.	95691					19798161		
A977896	Christopher	Campos	15068	peach orchard rd    	Brooksville	Fl	34614	O Box 10117	BROOKSVILLE	FL	34603	19789161	1957	1957//
A956285	Winston	Campos	5000	"49TH AVE N,    "	SAINT PETERSBURG	FL	33709	po box 15632	SAINT PETERSBURG	FL	33733			
A954467	carolyn	campos	3413	viadc san delarro    	MONTEBELLO	CUA	90640					113983334		
A953140	Guadalupe	Campos	944	North Avenid     	Escondido	Ca	92026	Po Box 1133	Escondido	Ca	92033	100054316		
A950721	KRIS	CAMPOS	929	Quarrfy St     	PETALUMA	CA	K94954	POST 50324	petaluma	ca	94975		1911	1911//
A942110	babs	campos	243	ridgeview ave     	Los Angmeles	California	90041					11229531	1960	1960//
A941987	barbara	campos	27602	Blue Topaz Dr    	Sun City	Califonia	92585					11229531	1960	3/3/1960
A940393	winston	campos	95	MURPHY DR     	bella vista	ar	72714					167902525	1949	1949//
A940069	christopher	campos	8708	JASMEEN GAHRDEN COURT    	TAMPA	FL	33615	BUZON 7692	TAMP	FLORIDA	33675			
A936358	ANA	CAMPOS	5325	eldkhorn blvd # 350   	SACRAMENTO	CA	95842	POST OFFICE 293357	SACRAMENTO	CA	95829	61600190	1936	1936//
A925391	Barbara	Campos	2403	RIDGEVIEW AV     	los angeles	calif.	90041					11229531		
A924836	m	campos	4860	NW 21ST AVE    	MIAMI	FL	33142	APARTADO 430115	MIAMI	FBLA	33243	55553090		
A917700	WINSTON	CAMPOS	301	STONEHURST RD     	HOT SPRINGS NATIONAL PARK	ARKAN	71913	Po Box 1921	hot springs national park	ark	71902	167902525	1949	5/14/1949
A914588	KRIS	CAMPOS	3413	VIA SAN DELARRO    	MONTEBELLO	CA	90640					113986793		
A914462	M	CAMPOS	4703	EAGLE DR     	fort pierce	fl	34951	APARTADO 12444	FORT PIERCE	FL	34979	55553090		
A913270	ANNE	CAMPOS	11041	KEY VEGA DR    	Jacksonville	Fl	32218	PO BOHX 5314	jacksonville	fl	32247	112645659		
A904867	ELIZABETH	CAMPOS	2159	NORTHWEST SUNSET BOULV    	Jensen Beach	Fl	34957					160612810		
A995963	L	CAMPSO	3942	BOYCE AVE     	LOS ANGELES	CA	90039	POLST OFFICE BOX 881605	Los Angeles	Ca	90009	55544006	1938	1/28/1938
A923486	eloy	campuzano	6629	CANDACE AVE     	Pico Rivera	Cali	90660	O Box 100	PICO RIVERA	CA	90660	171504606		
A918475	a	camraena	227	SANSOME ST     	Salinas	Ca	93907					31982500		
A921644	torrey	camrona	230	FRIETSIAN WAY     	sanford	fl	3k2773					14225451		
A906460	Torrey	Camrona	30	friesian way     	Sanford	Fl	32773							
A996316	RICHARD	CAMUNAS	3589	W Harvard Avn    	fresno	ca	93722						1924	1924//
A984516	Sybil	Camunas	367	RIGEWAY PL     	VENTURA	CA	93004					50502375		
A984042	Sybil	Camunas	367	RIDGEWAY PL     	ventura	california	93004					50502357		
A980621	RICK	CAMUNAS	12830	Woodcock Ave     	sylmar	clifornia	91342	POST OFFICE 29H2663	Sylmar	Caldif	91342	74390128		
A975388	CATHERINE	CAMUNAS	3589	W Harvard Ave    	FRESNO	CA	93722						1917	7/25/1917
A967498	RICHADR	CAMUNAS	3339	calico court   Unit 14 	sacrvamento	calif.	95826							
A954029	RICHARD	CAMUNAS	3339	calico ct     	Sacramento	Ca	95826							
A908389	sybil	camunas	231	N Yaleton Avenue    	west covina	ca	91790	po box 4561	west covina	california	9791	50502375	1956	1/8/1956
A908386	SIDNEY	CAN	600	ortiz ave     	SEASIDE	CA	939I55						1977	6/3/1977
A962497	GREGORIA	CANADY	1341	N Granite Ave    	fayetteville	ar	72704					57435887		
A909830	Gregoria	Canady	20885	RMEDWOOD RD # 255   	CASTRO VALLEY	CA	94T546	Po Fbox 20554	CASTRO VALLEY	CA	94546	57453887		
A961911	ARTURO	CANAHUI	16921	MEADOWBROOK RIDGE RD 2   	san diego	cali	92127	Po Box 45236	SAN DIEGO	CA	92145	195621943	1931	5/3/1931
A947515	ARTURO	CANAHUI	18	BUNKER LN   210  	Palm Coast	Fl	32137	po box 354120	PALM COAST	FLA	3215	195621934		
A926175	ARTURO	CANAHUI	2025	n 25th ravenue    	HOLLYWOOD	FLA.	3020					195621934		
A918543	N	CANAHUI	2.02E+07	N 25th Ave    	HOLLYWOOD	FL	33020					195261934		
A917324	Arturo	Canahui	2025	N 25TH AVE    	HOLLYWOOD	FL	33020					195612934		
A992604	Tony	Canas	1428	ALICE ST APT 617   	oakland	calif.	94612					69673458		
A990799	ANTHONY	CANAS	830	halecrest dr     	choula vista	california	91910	po box 167	CHULA VISTA	CA	91912			
A989949	Anthony	Canas	3587	COBBET DRIVE     	San Jose	Ca	95148							
A984660	ANTHONY	CANAS	1428	ALICE ST APT 617   	oakland	ca	94612					69673458		
A984213	Anthony	Canas	3587	COBBERT DR     	San Jose	Ca	95148						1912	1912//
A983595	ANTHONY	CANAS	1428	Alice Strt Apt 617   	Oakland	Ca	94612					69673458		
A976860	anthony	canas	387	Cobbert Dr     	san jose	ca	95148							
A939785	Terry	Canas	6970	e grass ct    	inverness	fl	34453f	PO BOX 1001	inverness	fl	34451	22612778	1900	1/1/1900
A933472	TERESA	CANAS	1217	songbird ln     	ATLANTIC BEACH	FL	32233					22612778	2000	1/1/2000
A919267	T	CANAS	1217	SONGBIRD ANE     	ALANTIC BEACH	FLA.	32233							
A916295	Anthony	Canas	36789	SAN PEDRO DRIV APT   	fremont	cali	94536	PO BOX 670	fremont	cali	94537	69673458	1912	1912//
A907060	CHARLES	CANCHLOA	14702	ostego st     	SHERMAN OAKS	CA	91403	caler 57156	sherman oaks	ca	91413	143686315	1973	7/28/1973
A930681	CHARLES	CANCHOL	932	W 10TH ST    	SAN BERNARDINO	CA	92411	po box 90712	SAN BERNARDINO	CA	92427	143686315		
A945654	melissa	canchola	12	LILLAN LN     	Bella Vista	Ar	72714						1980	3/4/1980
A918430	c	cancino	200	N Wilshire Ave Apt   	anaheim	ca	92801	POST 8242	ANAHEIM	CA	92812		2021	1/10/2021
A996877	Z	CANDELARIO	1003	Bayview Farm Rid #   	Pinole	Ca	94564					114971574	1971	7/4/1971
A967262	ISRAEL	CANDELARIO	411	LEWIS RD SPC 40V4   	San Jose	Ca	95111					114791574	1971	7/4/1971
A961131	israle	candelario	1003	BAYVIEW FARM RD #   	Pinole	Cali	94564					114791574		
A952703	ISRAEL	CANDELARIO	114	Grace Way Apt B   	scotts vallehy	ca	95066					114791574		
A943773	ISRAEL	CANDELARIO	2700	Coconut Bay Ln    	Sarasota	Fl	34237					114791574		
A937538	Israel	Candelario	1003	BAYVIEW FARMRD # 205   	Pinole	C	94564					114719574		
A919435	ISRAEL	CANDELARIO	411	LEWIS RD SPC 404 1  	San Jose	Ca	95111						1971	7/4/1971
A989679	P	CANDY	710	W LUDLUM DR  blvd  	deltona		fl					123401789		
A947672	MARY	CANDY	2000	Mcmclellan Rd     	FROSTPROOF	FL	33843	office box 884	Frostproof	Fl	33843	132401789	1933	1933//
A934881	MARIA	CANDY	710	West Ludlum Drv    	deltona	fl	w32725							
A924841	MARIA	CANDY	710	W LUDLUM DR    	DELTONA	FLORIDA	32725					132401798		
A964195	ISRAEL	CANEDLARIO	411	LEWIS RD SPC 404   	San Jose	Cali	9511n1					114719574		
A947894	gabriel	canete	45	red barn ln    	BATESVILLE	AR	72501					127168494		
A945078	GABRIEL	CANETE	1724	THOMAS DZR     	Clearwater	Fflorida	33759	po box 17583	clearwater	fla	33762	127186449		
A914550	GABRIEL	CANETE	45	RED BARN LN    	Batesville	Ar	72501						1935	3/1/1935
A929581	THERESA	CANEZ	1610	Forest Fernt Ct    	SUGAR LAND	TX	77479	Po Box 16052	SUGAR LAND	TX	77496	92791145	1928	1928//
A928674	THEREAS	CANEZ	714	n 8th st    	VAN BUREN	AR	72956	PO BOX 6644	VAN BUREN	AR	72956			
A977343	charles	canhola	108	MARTI ST     	BLYTHEVILLE	AR	72315	Po Box 146	BLYTHEVILLE	AR	72316	143686315	1973	1973//
A967874	JAP	CANINO	4965	omar strft     	FREMONT	CA	94538	office box 670	FREONT	CALIFORNIA	94537	78140424		
A930461	JASPER	CANINO	4495	Cheviot Drv     	IRVINE	CA	92604					78140424		
A907702	JASPER	CANINO	4495	CHEVIOT DR   307  	IRVINE	CA	92604					78140244		
A978166	WENDY	CANISNO	4495	CHEVIOT DR     	Irvine	Calif.	92604					78135717	2010	10/6/2010
A974570	mario	cann	8832	Liscrney Way     	SACRAMENTO	CA	95828X							
A950152	maroi	cann	8832	LISCARNEY WAY     	SACRAMENTO	A	95828						1910	9/13/1910
A934295	michael	cann	1845	N BROADWAY APT 106   	ESCONDIDO	CA	92026	PO BOX 1133	Escondido	Ca	92033			
A930864	mario	cann	58	COUNTY ROAD 305    	JONESBORO	AR	72401	Po Box 85	Jonesboro	Ar	72403	170966497	1910	1910//
A911530	MICHAEL	CANN	181	E Orange Ave Apt   	Chula Vista	Clifornia	91911					60243721		
A995828	shelley	cannady	4065	VIA DE LA PAZ   	OCEANSIDE	CA	92057							
A968326	SHELLEY	CANNADY	1719	La Corta St    	LEMON GROVE	CA	9145	po box 1306	lemon grove	ca	91946			
A960258	SHELLEY	CANNADY	4065	VIA DE LA PAZ   	OCEANSIDE	CA	92L057					51601026		
A949701	SHELLEY	CANNADY	4065	VIA DE LA PAZ   	oceanside	california	92057					51601206		
A946995	SHELLEY	CANNADY	23920	ARROYO PARK DR UNIT   	VALENCIA	CA	91355					51601206	1913	1/26/1913
A939749	shleley	cannady	23920	ARROYO PARK DRIVE UNIT 119  	Valenciaz	Cali	91355					51601206		
A915359	shellye	cannady	1450	150TH AVE APT B   	San Leandro	Ca	94578	Posty Office 3325	san leandro	ca	94578	51601206		
A972606	c	cannedy	8415	chasco zwoods boulv apt   	PORT RICHEY	FL	34668							
A951587	RHONDA	CANNEDY	462	Springdale Ci   201  	palm springs	fl	33461					95472920		
A949241	ROHNDA	CANNEDY	13348	AVA LOMA WAY    	VICTORVILLE	CA	92392					95742920	1979	4/8/1979
A928678	RHONDA	CANNEDY	462	SPRINGDALE CIR     	Palm Springs	Florida	33461							
A904911	Rhonda	Cannedy	8415	CHASCO WOODS BLVD APT   	PORT RICHEY	FL	34668					95472920		
A914502	jasper	cannio	1811	oaktree ln     	arlingto	tx	76013	PO BOX 300806	Arlington	Tx	76007	78140244	1920	1920//
A984146	jerome	cannno	10030	lida str     	Gibsonton	Fl	33534					115551203	1923	3/19/1923
A967177	RICARDO	CANNNO	5805	MAUREEN DR     	Loittle Rock	Arkansas	72209					88979764		
A955552	jeremy	cannno	12431	merrill st     	Garen Grove	Ca	92840	PO BOX 1507	garden grove	cali	92842	30746920		
A970780	RICARDO	CANNOGN	310	1st St     	JOINER	R	72350							
A996762	PATTIE	CANNON	2700	assocated road apt c37   	fullerton	ca	92835					132811707		
A990763	Jerome	Cannon	2G761	MARSHALL WAY     	sacramento	ca	95818					115551203		
A989944	JEROME	CANNON	276Y1	MARSHALL WAY     	SACRAMENTO	CA	95818							
A980339	pattie	cannon	33	JOHN ST     	Saint Augustine	Florida	32080000					132811077		
A977393	MARY	CANNON	2243	PACIFIC AVE APT A104   	Costa Mesa	Caliornia	92627					88972727	1967	10/1/1967
A974202	PATTIE	CANNON	12	Cambridge Pl     	BRANDON	FLORIDA	33511					132811077		
A970411	Joseph	Cannon	9072	Pineapple Rd     	FORT MYERS	FL	33967	po box 7586	FORT MYERS	FL	33911			
A968673	L	CANNON	10030	LINDA ST     	GBSONTON	FL	33534					115551203		
A958516	JEROME	CANNON	2418	62nd str     	PORT ARTHUR	TX	77640					115551203	1923	1923//
A954048	SHARON	CANNON	2418	62ND ST     	Port Arthur	Tx	77640							
A951528	KIMBERLY	CANNON	30204	VIA AANTE     	MENIFEE	CA	92584					20596608		
A951384	M	Cannon	359	kguava ave     	Chula Visa	Ca	91910	po box 16e57	Chula Vista	Ca	91912			
A951165	JOSEPH	CANNON	5127	norma st     	Fort Worth	Tx	76112							
A950738	ricardo	cannon	5805	Maureen Dr     	LITTLE ROCK	AR	72209							
A950603	margaret	cannon	2118	sunshine ave     	BAKERSFIELD	CA	93307	CALL BOX 60103	BAKERSFIELD	CA	93386	84392148	1929	8/2/1929
A949505	G	CANNON	310	d1st st     	Joiner	Ar	72350					88979764		
A946082	margarte	cannon	8254	CHARLAURA CT     	SACRAMENTO	CA	95828	BOX 293357	SACRAMENTO	CALIFORNIA	95829V			
A942890	MARGARET	CANNON	N5316	BEECHWOOD AVEN     	LYNWOOD	CALIF.	9262					48392148	1929	8/2/1929
A937563	Joseph	Cannon	1412	NOTHWOOD ST     	houton	tx	77009					122926055		
A937174	joey	cannon	1119	GRETCHEN CNT   726  	Venice	Fl	34293					122962055		
A931097	pattie	cannon	2700	Associated Rd Apt C37 4  	FLLERTON	CALIFORNIA	92835					132811077		
A929785	minnie	cannon	2243	PACIFIC AVNUE APT A104 C216  	costa fmesa	california	92627					808972727	1967	10/1/1967
A929512	pattie	cannon	4929	buhanan str     	los angeles	ca	90042	PO BOX 88605	LOS ANGELES	CA	90009	132811077	1929	1929//
A927997	JOSEPH	CANNON	1412	Northwood St     	houston	tx	77009					122962055	1962	3/5/1962
A927657	PATTIE	CANNON	5815	sandy ct     	atwater	ca	95301						1929	1929//
A926097	KIMBERLY	CANNON	2513	N CHURCH AVE    	Rialto	California	92377							
A924631	Kimberly	Cannon	2513	N Church Ave    	rilto	california	92377					20596608		
A923217	joseph	cannon	1119	gretchen curt     	VENICE	FL	34293							
A922894	Jeremy	Cannon	427	w doran street unit   	GLENDALE	CA	91203					30746920		
A917804	PATTIE	CANNON	20936Q	HIGH COUNTRY DRV    	WALNUT	CALIF.	91789	PO BOX 1609	walnut	ca	91788	132811077		
A914195	Jerome	Cannon	2185	SATICOY ST     	pomona	cali	91767					115551203	1923	1923//
A905793	L	CANNON	2185	SATICOY ST     	Pomona	California	91767					115551203		
A998944	mariah	cano	1084	OLIVE AVE     	Beaumont	Calif.	92223					195129417		
A995744	maria	cano	16838	"HIGHWAY 87 W,  5  "	ADKIN	TEXAS	78101					195129417		
A993997	maria	cano	1084	olive ave     	BEAUMONT	CA	92223							
A990227	CONSUELO	CANO	4218	LYND AVNU     	rcadia	california	91006	PO BOX 661111	ARCADIA	CA	G91066	20238519		
A989842	GEROEM	CANO	484	LAKEPORT RAVENU # 261   	FOAKLAND		CA					57545227		
A986190	SIDNEY	CANO	4145	W FREMONT AVE    	FRESNO	CALIF.	93722					183292451		
A982560	Maria	Cano	1006	magnolia dale dr    	FRESNO	TEXAS	7545					195129471	1935	1935//
A977769	Sidney	Cano	1718	Sylvan Wy Apt 1210i   	LODI	CA	95242					183292451		
A968909	CONSUELO	CANO	1050	W 228TH ST    	torrance	ca	90502	po box 268	torrance	ca	r90507	22038519		
A961132	Maria	Cano	5245	northridge ave     	SAN DIEGO	CA	92117	Po Box 45236	SAN DIEGO	CA	92145			
A958348	k	cano	9201	wakefield ave unit 2   	Panorama City	Ca	91402					128881942		
A954677	MARIA	CANO	1838	"Hwy 87 W,    "	DADKINS	TEXAS	78101					195129417	1935	4/1/1935
A953733	MARIA	CANO	4108LOS	ALTOS DR     	plano	tx	75024	PO BOX 860105	Plan	Texas	75086	195129471		
A953429	consuelo	cano	613	42737 MAIN STREET    	liberty	tx	77575					22038519		
A949800	F	CANO	2530	Martha Ln     	LAND O LAKES	FL	34639	PO BOX 916	Land O Lakes	Fl	34639			
A949378	Sidney	Cano	1718	Sylvan Way Apt 1210   	ODI	CALIF.	95242							
A942747	SIDNEY	CANO	600	ORTIZ AVE     	seaside	calif.	93q955					183922451		
A941783	mary	cano	613	42737 MAIN STR    	Liberty	77575						22023753		
A939669	Sidney	Cano	1718	sylvan way apt 1210   	LODI	CALIF.	9542					183292451		
A936867	GEROME	CANO	484	Lakeport Ave # 261   	Oakland	California	94610					57545272	1906	1906//
A928711	SIDNEY	CANO	4145	w fremont ave    	FRESNO	CA	93722					183292541		
A925781	Sonia	Cano	1420	42737 FULLERTON AV    	CORONA	CALIF.	92879					71347028		
A918547	sonia	cano	810	EMPRESARIO DR     	San Antonio	Texas	78253	Po Box 69062	San Antonio	Tx	78269	701347028		
A918329	GEROME	CANO	221	AVENUE G     	Lacy Lakeview	Tx	76705					57545227		
A917583	Sidney	Cano	4145	W Remont Ave  421  	fresno	ca	93722					813292451		
A911539	keith	cano	18771	HOOVER ST     	Salinas	Ca	93906	POBOX 1931	salinas	calif	93902	128881942		
A909016	sid	cano	600	ORTIZ AVE     	Seaside	Ca	93955					183292451		
A904903	Sidney	Cano	678	HOLLY AVE     	ROHNERT PARK	CA	94928	Po Box 1249	rohnert park	ca	94927	183292451	1977	1977//
A960260	JEROME	CANON	10030	LINDA ST     	gibsonton	florida	33534					115551203		
A990822	JEFFERY	CANONIZADO	5334	"44TH AVE N,  1145  "	ST PETERSURG	FLORIDA	33709	po box 41812	ST PETERSBURG	FL	33743	33879105		
A954874	Dana	Canonizado	4608	WHEAT FIELD DIVE    	MCKINNEY	TX	75070					33876278		
A934055	jeffeyr	canonizado	17O10	HILL STRT     	EDGEWATER	FL	32132							
A933190	Jeffery	Canonizado	4661	BARNES RD     	jacksonville	fl	32207					33879105		
A919776	JEFFERY	CANONIZADO	4661	barnes rd     	JACKSONVILLE	FLORIDA32207						33789105	1930	1930//
A925689	Consuelo	Canro	613	42737 MAIFN ST    	LIBERTY	TXX	77575					22038519		
A954679	CRYSTAL	CANTE-ALVARADO	3050	Franklin Ave   607  	Sapn Diego	Ca	92113	Po Box 45236	San Diego	Ca	92145	65069236		
A925971	Chris	Cante-alvarado	15722	HERON HILL ST    	clermont	fl	34714					65062936	1908	1908//
A925665	crystal	cante-alvarado	7311	ETON AVE APT 203   	CANOGA PARK	CA	91303					65062936		
A913615	CRYSTAL	CANTE-ALVARADO	7440	sunnngdale way     	Gilroy	Cali	95020	PO BOX 165	GILROY	CA	95021	65062936	1908	1908//
A993327	johnny	canterberry	9500	WEST ROAD APT 1905   	houston	tx	77064	PO BOX 28034	HOUSTON	TX	77228		1925	7/7/1925
A991157	JOHANNES	CANTERBERRY	9	Adkins Rdg     	San Antonio	Teas	78239	APARTADO 690362	san antonio	tx	78269	131855140	1925	7/7/1925
A988368	J	CANTERBERRY	4711	S Himes Ave Apt   	Tampa	Fl	33611	Atdo 76972	TAMPA	FL	33675			
A979031	JOHNNY	CANTERBERRY	8751	Bottlebrush Ct     	ELK GROVE	CA	95R624	post 581385	ELK GROVE	CA	95758		1925	7/7/1925
A913001	Johnny	Canterberry	3323	208th s     	Lake City	Fla.	32024						1925	7/7/1925
A907675	JOHNNY	CANTERBERRY	3323	208th st     	LAKE CITY	FL	32024					113855140		
A978255	m	cantero	126	ELM ST APT 303   	san mateo	ca	94401	P BOX 25406	san mateo	ca	94402	41600698		
A975699	Mylene	Cantero	556	camino d gloria    	Walnut	Ca	91789						1976	1976//
A953280	JOEY	CANTEU	14134	NW 88TH CT    	MIAMI LAKES	FLA.	33018							
A982382	r	cantillo	720	RAVEN DRIVE     	SAGINAW	TX	76131						2011	6/7/2011
A942356	Guillermo	Cantillo	2307	JOSE DE LA CRUZ 5  	mission	texas	78574	Aparado 3127	mission	tx	78573	73665230		
A909844	G	CANTLLO	470	EAST LOUISE ST    	LONG BEACH	CA	90805	post office 17402	long beach	ca	90807	73665230	1910	12/16/1910
A925611	ARMANDO	CANTLOW	13340	Mercer Strt     	Pacoima	Can	91331					22380255		
A908670	armando	cantlow	13340	MERCER STREET     	Pacoima	Califorlnia	91331					22382055	1900	1900//
A961062	Yadira	Cantrel	603	GUADALIMAR ST     	LOCKHART	TEXAS	78644					134849243		
A983825	Vick	Cantrell	3k902	de longpre ave    	LOS ANGELES	CA	90027	BUZON 881605	LOS ANGELES	CA	90009	134909320		
A970001	VICK	CANTRELL	5105	BRETT DR     	Pearland	Tx	77584					134909320	1904	1904//
A964245	vic	cantrell	603	Guadalhimar Street     	Lockhart	Texas	78644					134990320	1904	1904//
A959382	v	cantrell	Y5105	BRETT DR     	PEARLAND	TX	7784					134909320		
A955196	YADIRA	CANTRELL	603	GUADALIAMAR ST     	LOCHART	TEXAS	78644					134894243		
A930092	VICTOR	CANTRELL	5105	BRETT DR     	Pearland	Tx77584						134909320		
A929419	YADIRA	CANTRELL	5105	brett dr     	PEARLAND	TX	77584							
A998148	Enrique	Cantu	11791	SCANDIA ST     	garden grove	ca	92845					158460901		
A988068	Enrique	Cantu	2101	benllevue ranch rd    	SANTA ROSA	CALIF.C	95407					158460901		
A984252	Enrique	Cantu	9355	forest lane # 235 198  	Dallas	Tx	75243	Po Bogx 810892	dallas	texas	75381	158460901	1932	6/4/1932
A981715	KENNETH	CANTU	7303	sunnyslope dr     	LANCASTER	CA	9356							
A975611	Enrique	Cantu	2101	BELLEVUE RANCH RD    	SANTA ROSA	CA	9547							
A968910	enrique	cantu	2310	QUIVER LN     	houston	tx	77067							
A966341	joseph	cantu	14134	Nw 88th Ct    	MIAMI LAKES	FL	33018					19580218		
A962854	lucy	cantu	1608	summers dr     	cedar hll	tx	75104	PO BOX 2976	CEDAR HILL	TX	75106	601792792		
A948402	LUCIA	CANTU	8553	Athena Ct     	lehigh acres	fl	33971	Po Box 507	lehigh acres	fl	33970	61792792		
A940404	JOSEPH	CANTU	1550	CAMBRIDGE CT     	salinas	ca	93906					19580218		
A939045	enrique	cantu	2101	bllevue ranch rd    	SANTA ROSA	CA	95407					158640901		
A927986	j	cantu	14134	Nw 88th Ct    	miami lakes	fl	33018					19580281	1967	1967//
A927576	Kenneth	Cantu	1502	W Magnolia Ave    	san antonio	tx	78201	Po Buox 690362	san antonio	texas	78269	82137178	1908	1908//
A923768	PEGGY	CANTU	730D3	SUNNYSLOPE DRV     	lancaster	califonrnia	93536					82135145		
A918825	cecilia	cantu	1210	SOUTH NORTHWOOD AVNUE    	COMPTON	CAF	90220					158439857		
A906533	Enrique	Cantu	11791	scandia st     	garden grove	ca	92845						1932	6/4/1932
A998774	LORA	CANTWELL	522	Burleson St     	Cedar Hill	Tx	75104	apartao 2976	CEDAR HILL	TX	75106		1986	8/9/1986
A991782	LORA	CANTWELL	6634	Candace Avenu     	Pico Rivera		Cali							
A950463	LORA	CANTWELL	433	1ST ST     	Bakersfield	Ca	93304	Box 60103	BAKERSFIELD	CA	93386	80433188	1986	8/9/1986
A939826	LOAR	CANTWELL	6634	candace ave   f  	pico rivera	cali.	90660					84033188	1986	8/9/1986
A981299	Soina	Canyo	1420	42737 Fullerton Avenue    	CORONA	CA	92879					71347028		
A976590	l	cao	H35250	SW 177TH COURT    	HOMESTEAD	FL	33034	PO BOXB 924571	HOMESTEAD	FLORIDA	33092			
A966832	L	CAO	8739	Alton Wentorth Rd    	greenville	fl	32331					110322200	1902	6/15/1902
A955758	x	cao	1186	W Webllington Dr    	DELDTONA	FLORIDA	32725	PJO BOX 5635	Deltona	Fl	32728	113022200		
A948958	leticia	cao	8739	ALTON WENTWORTH RLOAD    	GREENVILLE	FLORIDA	32331							
A926188	Leticia	Cao	215	E CORAL TDRACE CRCL   	DELRAY BEACH	FL	33445	po box 46043	delray beach	fl	33448	113022200	1902	1902//
A952566	V	CAOHEN	5640	Nw 61st St Apt   	COCONUT CREEK	FL	33073F					96198044	1915	2/28/1915
A976249	ESAN	CAONGE	6621	nola dr     	WATAGA	TX	76148					53745755		
A990269	bonnie	caot	688	Acapulcav Wy     	altamonte springs	fl	327l14					110741064		
A961463	LUCILA	CAPANA	903	curtis dr     	arlington	tx	76012					132961046	1963	1963//
A994241	RITA	CAPEL	8521	INTERNATIONAL AVE APT 239   	CANOGA PARK	CAL	91304					117694943	1931	1931//
A956511	RIAT	CAPEL	8521	INTERNATIONAL AVN APT 239   	CANOGA PARK	CA	91304					117649943	1931	1/2/1931
A941264	rita	capel	1208	santa brbara dr    	Los Banos	Ca	93635	Office Box 2385	los banos	ca	93635	117649943		
A938005	MARGARITA	CAPEL	1072	TANAGER LN     	FAIRFIELD	CA	94533							
A994972	Ginger	Capetillo	465	FATHAOM DRV APT 212   	SAN MATEO	CA	4404						1946	3/6/1946
A991399	ginegr	capetillo	4741	AVENIDA VISTA VERDE    	PALMDALE	CA	93551						1946	3/6/1946
A990098	Jeff	Capetillo	3465	plantation dr     	SARASOTA	FL	34231	PO BOX 1257	SARASOTA	FL	34230	10782449		
A966950	Dorothy	Capetillo	3465	PLANTATION DRV     	SARASOTA	FL	34231	PO BOXI 1257	SARASOTA	FL	34230	10779005		
A966626	G	CAPETILLO	465	Fathom Dr Apt 212   	SAN MATEOO	CA	94404					3497486		
A948165	VIRGINIA	CAPETILLO	465	FATHOM DR APT 212   	SAN MATEO	CA	94404							
A924356	G	CAPETILLO	4741	AVENIDA VISTA VERDEM    	PALMDALE	CALIFORNIA	93551							
A955695	brenda	capistran	2022	SAN JOSE AVE #   	ALAMEDA	CA	94501	Po Box 852	ALAMEDA	CA	94501		1961	1961//
A961962	lisa	capmbell-simmons	712	w 3rd t    	EDDY	TEXAS	76524					114542262	1910	1910//
A995349	gregory	capps	20909	Pioneer Blvd Apt 15   	Lakewood	Ca	90715					25833587		
A932587	Theersa	Capps	2385	11th Zst     	riverside	calif.	9250i7						1918	1918//
A928742	SLAVADOR	CAPPS	24311	Grass St     	AKE FOREST	CALIF.	92630	PO BOXZ 732	LAAKE FOREST	CA	92609	10850038		
A927360	GREGORY	CAPPS	2385	11TH ST     	RIVERSIDE	CA	92507							
A917167	GREGORY	CAPPS	2385	11TH ST     	RIVERSIDE	CA	92507					25833587		
A994173	THOMAS	CAPRICE	1560	ISLAND DR     	merritt ihsland	fl	32952					33767304	1908	9/10/1908
A987355	THOMAS	CAPRICE	1724f	minnewawa ave     	CLOVIS	CA	93612	Post Office Box 1496	CLOVIS	CA	93613		1908	9/10/1908
A980337	THOMAS	CAPRICE	213	VILLA DI ESTE TER   	lake mary	fl	32746					33776304		
A941891	MARY	CAPRICE	213	Villa Di Este Ter   	LAKE MARY	FLA.	32746							
A924424	THOMAS	CAPRICE	213	VILLA DI ESTE TER   	LAKE MARY	FLA.	32746					33767304		
A975665	PAM	CAPUTO	6028	"christina driv w,    "	LAKELAND	FLA.	33813	call bodx 2728	lakeland	fl	33806			
A935653	PAMELA	CAPUTO	731	FREDERICKCRCL      	FLINT	TEXASO	75762						1980	1980//
A939344	PAUL	CAR	1031	E Rio Grande Ave   	EL PASO	TX	79902					97220080		
A928231	paul	car	3701	nations ave     	EL PASO	TEXAS	79930					97220080		
A925216	gregory	caraabllo	13613	county road 2290    	ARP	X	75750					117254059		
A983498	GREGORY	CARABALLO	3874	Franko Switch Rd    	WEATHERFORD	TEXAS	76088	POBOX 1473	WEATHERFORD	TX	76086	117254095	1968	5/20/1968
A949855	GREGORY	CARABALLO	3833	sally ln     	CORPUS CHRISTI	TX	78414							
A949617	Greg	Caraballo	68425	QUIJO RD   1119  	Cathedral City	Ca	92234	PO BOX 177	CATHEDRAL CITY	CA	92T235	117254059		
A931024	g	caraballo	13613	County Road 2290    	ARP	TX	75750					117254059		
A923948	gregory	caraballo	3833	sally ln     	CORPUS CHRISTI	TEXAS	78414					117250459		
A930400	l	carabalzlo	13613	County Rad 2290    	ARP	TX	75750					117243036	1973	1/30/1973
A918933	gregory	carablalo	3833	SALLY LANE     	corpus christi	tx	78414							
A936980	Mark	Carasco	4345	e washington ave    	fresno	ca	93702					196773466		
A950913	Jocelyn	Caratachea	5340	APPLETON AVE     	JACKSONVILE	FLORIDA	32210					103166692		
